Age,ShoulderWidth,Waist,Hips,TotalHeight,Size
10,35.56,45.72,27.94,116.84,S
8,48.26,60.96,50.8,96.52,S
10,30.48,68.58,55.88,124.46,S
13,35.56,63.5,71.12,137.16,S
8,27.94,53.34,63.5,66.04,S
8,30.48,55.88,60.96,119.38,S
9,33.02,30.48,27.94,116.84,S
8,27.94,68.58,60.96,111.76,S
13,35.56,63.5,71.12,137.16,S
11,30.48,58.42,68.58,134.62,S
11,33.02,58.42,68.58,132.08,S
8,35.56,58.42,58.42,124.46,S
11,35.56,60.96,60.96,96.52,S
10,33.02,55.88,60.96,116.84,S
8,48.26,53.34,58.42,124.46,S
8,27.94,58.42,66.04,121.92,S
4,25.4,50.8,50.8,96.52,S
9,33.02,60.96,63.5,119.38,S
4,25.4,50.8,50.8,96.52,S
11,30.48,63.5,68.58,134.62,S
2,33.02,63.5,60.96,111.76,S
10,33.02,68.58,66.04,119.38,S
11,33.02,50.8,63.5,96.52,S
13,48.26,50.8,66.04,124.46,S
9,35.56,58.42,55.88,116.84,S
10,27.94,58.42,68.58,119.38,S
13,25.4,53.34,58.42,137.16,S
12,38.1,55.88,60.96,142.24,S
9,33.02,55.88,27.94,116.84,S
11,25.4,63.5,50.8,96.52,S
9,33.02,58.42,30.48,96.52,S
8,30.48,60.96,27.94,119.38,S
6,22.86,45.72,53.34,73.66,S
11,33.02,40.64,50.8,73.66,S
9,33.02,60.96,27.94,111.76,S
12,38.1,66.04,71.12,119.38,S
11,33.02,55.88,38.1,137.16,S
8,22.86,53.34,55.88,111.76,S
7,33.02,63.5,60.96,111.76,S
8,27.94,30.48,60.96,111.76,S
6,15.24,58.42,58.42,93.98,S
5,12.7,53.34,53.34,104.14,S
4,27.94,55.88,55.88,99.06,S
5,30.48,53.34,58.42,76.2,S
6,27.94,53.34,50.8,81.28,S
6,27.94,55.88,53.34,81.28,S
7,27.94,55.88,58.42,76.2,S
6,33.02,55.88,60.96,111.76,S
4,27.94,50.8,53.34,93.98,S
12,35.56,73.66,78.74,139.7,S
5,27.94,55.88,55.88,111.76,S
13,35.56,50.8,78.74,144.78,S
14,35.56,60.96,66.04,144.78,S
11,33.02,60.96,63.5,132.08,S
12,30.48,50.8,71.12,134.62,S
9,30.48,60.96,63.5,121.92,S
5,25.4,55.88,60.96,81.28,S
12,35.56,63.5,71.12,147.32,S
7,30.48,60.96,66.04,116.84,S
6,30.48,60.96,60.96,114.3,S
13,38.1,68.58,76.2,149.86,S
11,30.48,60.96,66.04,124.46,S
11,30.48,63.5,68.58,129.54,S
4,27.94,55.88,55.88,99.06,S
11,33.02,55.88,27.94,99.06,S
13,30.48,53.34,66.04,134.62,S
15,33.02,27.94,40.64,132.08,M
13,38.1,68.58,76.2,124.46,S
11,30.48,63.5,73.66,111.76,S
9,25.4,50.8,33.02,114.3,S
